Goal,Days,Plan,Suggestions,Gender,Age Group
Build Muscle,2,"Day 1: Squats (3 sets, 10-12 reps, 90 sec rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest), Seated Calf Raises (3 sets, 12-15 reps, 60 sec rest). Day 2: Dumbbell Bench Press (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Press (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest).",Emphasize form and recovery. Consume 1.6-2.0g protein per kg body weight. Include 5 min core work post-workout.,Female,Adult
Build Muscle,2,"Day 1: Machine Leg Press (3 sets, 10-12 reps, 90 sec rest), Hip Thrusts (3 sets, 10-12 reps, 90 sec rest), Seated Calf Raises (3 sets, 12-15 reps, 60 sec rest). Day 2: Machine Chest Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 10-12 reps, 60 sec rest).",Use machines for joint safety. Consume 1.6g protein per kg body weight. Focus on controlled movements. Include 10 min stretching daily.,Female,Senior
Build Muscle,3,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Bench Press (4 sets, 8-12 reps, 2 min rest), Bent-over Rows (3 sets, 10-12 reps, 90 sec rest), Overhead Press (3 sets, 10-12 reps, 90 sec rest), Plank (3 sets, 60 sec, 60 sec rest). Day 2: Deadlifts (4 sets, 6-10 reps, 2 min rest), Pull-ups (3 sets, 8-12 reps, 90 sec rest), Incline Dumbbell Press (3 sets, 10-12 reps, 90 sec rest), Barbell Curls (3 sets, 12-15 reps, 60 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest). Day 3: Leg Press (4 sets, 10-12 reps, 2 min rest), Dumbbell Lunges (3 sets, 12 reps per leg, 90 sec rest), Seated Cable Rows (3 sets, 10-12 reps, 90 sec rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest).",Track lifts for progressive overload. Consume 1.8-2.2g protein per kg body weight. Use a spotter for heavy lifts. Include 10 min mobility work post-workout.,Male,Young Adult
Build Muscle,3,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Bench Press (3 sets, 10-12 reps, 90 sec rest), Seated Rows (3 sets, 10-12 reps, 90 sec rest), Overhead Press (3 sets, 10-12 reps, 90 sec rest). Day 2: Deadlifts (3 sets, 8-10 reps, 2 min rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Press (3 sets, 10-12 reps, 90 sec rest), Hammer Curls (3 sets, 12-15 reps, 60 sec rest). Day 3: Leg Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Lunges (3 sets, 12 reps per leg, 90 sec rest), Cable Rows (3 sets, 10-12 reps, 90 sec rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest).",Focus on form to prevent injury. Consume 1.6-2.0g protein per kg body weight. Use a lifting belt for heavy lifts. Include 5 min core work post-workout.,Male,Adult
Build Muscle,3,"Day 1: Machine Leg Press (3 sets, 10-12 reps, 90 sec rest), Machine Chest Press (3 sets, 10-12 reps, 90 sec rest), Seated Rows (3 sets, 10-12 reps, 90 sec rest), Plank (3 sets, 30-45 sec, 60 sec rest). Day 2: Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Dumbbell Chest Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Curls (3 sets, 10-12 reps, 60 sec rest). Day 3: Machine Leg Press (3 sets, 10-12 reps, 90 sec rest), Walking Lunges (3 sets, 10 reps per leg, 90 sec rest), Cable Rows (3 sets, 10-12 reps, 90 sec rest), Shoulder Press Machine (3 sets, 10-12 reps, 90 sec rest).",Prioritize joint-friendly exercises. Consume 1.6g protein per kg body weight. Use machines for stability. Include 10 min stretching daily.,Male,Senior
Build Muscle,3,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Dumbbell Bench Press (3 sets, 10-12 reps, 90 sec rest), Bent-over Rows (3 sets, 10-12 reps, 90 sec rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest), Plank (3 sets, 60 sec, 60 sec rest). Day 2: Deadlifts (4 sets, 6-10 reps, 2 min rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Curls (3 sets, 12-15 reps, 60 sec rest). Day 3: Leg Press (4 sets, 10-12 reps, 2 min rest), Dumbbell Lunges (3 sets, 12 reps per leg, 90 sec rest), Seated Cable Rows (3 sets, 10-12 reps, 90 sec rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest).",Emphasize glutes and core for balanced physique. Consume 1.8-2.2g protein per kg body weight. Track lifts for progressive overload. Include 10 min mobility work.,Female,Young Adult
Build Muscle,3,"Day 1: Squats (3 sets, 10-12 reps, 90 sec rest), Dumbbell Bench Press (3 sets, 10-12 reps, 90 sec rest), Seated Rows (3 sets, 10-12 reps, 90 sec rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest), Plank (3 sets, 45 sec, 60 sec rest). Day 2: Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Curls (3 sets, 12-15 reps, 60 sec rest). Day 3: Leg Press (3 sets, 10-12 reps, 90 sec rest), Walking Lunges (3 sets, 12 reps per leg, 90 sec rest), Cable Rows (3 sets, 10-12 reps, 90 sec rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest).",Focus on form and recovery. Consume 1.6-2.0g protein per kg body weight. Include 5 min core work post-workout. Use lighter weights with higher reps if needed.,Female,Adult
Build Muscle,3,"Day 1: Machine Leg Press (3 sets, 10-12 reps, 90 sec rest), Machine Chest Press (3 sets, 10-12 reps, 90 sec rest), Seated Rows (3 sets, 10-12 reps, 90 sec rest), Hip Thrusts (3 sets, 10-12 reps, 90 sec rest), Plank (3 sets, 30-45 sec, 60 sec rest). Day 2: Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Dumbbell Shoulder Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Curls (3 sets, 10-12 reps, 60 sec rest). Day 3: Walking Lunges (3 sets, 10 reps per leg, 90 sec rest), Machine Chest Press (3 sets, 10-12 reps, 90 sec rest), Cable Rows (3 sets, 10-12 reps, 90 sec rest), Side Plank (3 sets, 20-30 sec per side, 60 sec rest).",Use machines for joint safety. Consume 1.6g protein per kg body weight. Focus on mobility and balance. Include 10 min stretching daily.,Female,Senior
Build Muscle,4,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Leg Extensions (3 sets, 12-15 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest). Day 2: Bench Press (4 sets, 8-12 reps, 2 min rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest), Dumbbell Shoulder Press (3 sets, 10-12 reps, 90 sec rest). Day 3: Deadlifts (4 sets, 6-10 reps, 2 min rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest), Hammer Curls (3 sets, 12-15 reps, 60 sec rest). Day 4: Overhead Press (4 sets, 8-12 reps, 2 min rest), Dumbbell Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Barbell Curls (3 sets, 12-15 reps, 60 sec rest), Cable Crossovers (3 sets, 12-15 reps, 90 sec rest).",Prioritize recovery with 8+ hours of sleep. Consume 1.8-2.2g protein per kg body weight. Use a lifting belt for heavy lifts. Add 5 min core work after each session.,Male,Young Adult
Build Muscle,4,"Day 1: Squats (3 sets, 10-12 reps, 90 sec rest), Leg Extensions (3 sets, 12-15 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest). Day 2: Bench Press (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest). Day 3: Deadlifts (3 sets, 8-10 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest). Day 4: Overhead Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Hammer Curls (3 sets, 12-15 reps, 60 sec rest).",Focus on recovery with 7-8 hours of sleep. Consume 1.6-2.0g protein per kg body weight. Use a spotter for heavy lifts. Include 5 min mobility work daily.,Male,Adult
Build Muscle,4,"Day 1: Machine Leg Press (3 sets, 10-12 reps, 90 sec rest), Leg Extensions (3 sets, 10-12 reps, 90 sec rest), Seated Calf Raises (3 sets, 12-15 reps, 60 sec rest). Day 2: Machine Chest Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 10-12 reps, 60 sec rest). Day 3: Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 10-12 reps, 60 sec rest). Day 4: Machine Shoulder Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Lateral Raises (3 sets, 10-12 reps, 60 sec rest), Dumbbell Curls (3 sets, 10-12 reps, 60 sec rest).",Use machines to minimize joint stress. Consume 1.6g protein per kg body weight. Focus on controlled movements. Include 10 min stretching daily.,Male,Senior
Build Muscle,4,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest). Day 2: Dumbbell Bench Press (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 60 sec, 60 sec rest). Day 3: Deadlifts (4 sets, 6-10 reps, 2 min rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest), Dumbbell Curls (3 sets, 12-15 reps, 60 sec rest). Day 4: Overhead Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest), Cable Crossovers (3 sets, 12-15 reps, 90 sec rest).",Focus on glutes and core. Consume 1.8-2.2g protein per kg body weight. Track lifts for progressive overload. Include 10 min mobility work daily.,Female,Young Adult
Build Muscle,4,"Day 1: Squats (3 sets, 10-12 reps, 90 sec rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest), Calf Raises (3 sets, 12-15 reps, 60 sec rest). Day 2: Dumbbell Bench Press (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest). Day 3: Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest). Day 4: Overhead Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest).",Emphasize recovery with 7-8 hours of sleep. Consume 1.6-2.0g protein per kg body weight. Include 5 min core work post-workout.,Female,Adult
Build Muscle,4,"Day 1: Machine Leg Press (3 sets, 10-12 reps, 90 sec rest), Hip Thrusts (3 sets, 10-12 reps, 90 sec rest), Seated Calf Raises (3 sets, 12-15 reps, 60 sec rest). Day 2: Machine Chest Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 10-12 reps, 60 sec rest). Day 3: Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 10-12 reps, 60 sec rest). Day 4: Machine Shoulder Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Lateral Raises (3 sets, 10-12 reps, 60 sec rest), Hip Thrusts (3 sets, 10-12 reps, 90 sec rest).",Use machines for joint safety. Consume 1.6g protein per kg body weight. Focus on mobility and balance. Include 10 min stretching daily.,Female,Senior
Build Muscle,5,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Leg Press (3 sets, 10-12 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Leg Curls (3 sets, 12-15 reps, 90 sec rest). Day 2: Bench Press (4 sets, 8-12 reps, 2 min rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Dips (3 sets, 12-15 reps, 60 sec rest), Cable Crossovers (3 sets, 12-15 reps, 90 sec rest). Day 3: Deadlifts (4 sets, 6-10 reps, 2 min rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest), Dumbbell Rows (3 sets, 10-12 reps, 90 sec rest). Day 4: Overhead Press (4 sets, 8-12 reps, 2 min rest), Dumbbell Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Skull Crushers (3 sets, 12-15 reps, 60 sec rest), Rear Delt Flyes (3 sets, 12-15 reps, 60 sec rest). Day 5: Barbell Rows (4 sets, 8-12 reps, 2 min rest), Pull-ups (3 sets, 8-12 reps, 90 sec rest), Hammer Curls (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 60 sec, 60 sec rest).",Track lifts to ensure progressive overload. Consume 1.8-2.2g protein per kg body weight. Prioritize 8-10 min foam rolling post-workout.,Male,Young Adult
Build Muscle,5,"Day 1: Squats (3 sets, 10-12 reps, 90 sec rest), Leg Press (3 sets, 10-12 reps, 90 sec rest), Calf Raises (3 sets, 12-15 reps, 60 sec rest). Day 2: Bench Press (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest). Day 3: Deadlifts (3 sets, 8-10 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest). Day 4: Overhead Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Skull Crushers (3 sets, 12-15 reps, 60 sec rest). Day 5: Barbell Rows (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Hammer Curls (3 sets, 12-15 reps, 60 sec rest).",Focus on recovery with 7-8 hours of sleep. Consume 1.6-2.0g protein per kg body weight. Include 5 min core work post-workout.,Male,Adult
Build Muscle,5,"Day 1: Machine Leg Press (3 sets, 10-12 reps, 90 sec rest), Leg Extensions (3 sets, 10-12 reps, 90 sec rest), Seated Calf Raises (3 sets, 12-15 reps, 60 sec rest). Day 2: Machine Chest Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 10-12 reps, 60 sec rest). Day 3: Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 10-12 reps, 60 sec rest). Day 4: Machine Shoulder Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Lateral Raises (3 sets, 10-12 reps, 60 sec rest), Dumbbell Curls (3 sets, 10-12 reps, 60 sec rest). Day 5: Seated Cable Rows (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Plank (3 sets, 30-45 sec, 60 sec rest).",Use machines for stability. Consume 1.6g protein per kg body weight. Focus on controlled movements. Include 10 min stretching daily.,Male,Senior
Build Muscle,5,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Leg Curls (3 sets, 12-15 reps, 90 sec rest). Day 2: Dumbbell Bench Press (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 60 sec, 60 sec rest). Day 3: Deadlifts (4 sets, 6-10 reps, 2 min rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest), Dumbbell Rows (3 sets, 10-12 reps, 90 sec rest). Day 4: Overhead Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Skull Crushers (3 sets, 12-15 reps, 60 sec rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest). Day 5: Barbell Rows (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Dumbbell Curls (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 60 sec, 60 sec rest).",Focus on glutes and core. Consume 1.8-2.2g protein per kg body weight. Track lifts for progressive overload. Include 10 min mobility work daily.,Female,Young Adult
Build Muscle,5,"Day 1: Squats (3 sets, 10-12 reps, 90 sec rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest), Calf Raises (3 sets, 12-15 reps, 60 sec rest). Day 2: Dumbbell Bench Press (3 sets, 10-12 reps, 90 sec rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest). Day 3: Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest). Day 4: Overhead Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Hip Thrusts (3 sets, 12-15 reps, 90 sec rest). Day 5: Seated Cable Rows (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Dumbbell Curls (3 sets, 12-15 reps, 60 sec rest).",Emphasize recovery with 7-8 hours of sleep. Consume 1.6-2.0g protein per kg body weight. Include 5 min core work post-workout.,Female,Adult
Build Muscle,5,"Day 1: Machine Leg Press (3 sets, 10-12 reps, 90 sec rest), Hip Thrusts (3 sets, 10-12 reps, 90 sec rest), Seated Calf Raises (3 sets, 12-15 reps, 60 sec rest). Day 2: Machine Chest Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 10-12 reps, 60 sec rest). Day 3: Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 10-12 reps, 60 sec rest). Day 4: Machine Shoulder Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Lateral Raises (3 sets, 10-12 reps, 60 sec rest), Hip Thrusts (3 sets, 10-12 reps, 90 sec rest). Day 5: Seated Cable Rows (3 sets, 10-12 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Plank (3 sets, 30-45 sec, 60 sec rest).",Use machines for joint safety. Consume 1.6g protein per kg body weight. Focus on mobility and balance. Include 10 min stretching daily.,Female,Senior
Build Muscle,6,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Leg Press (3 sets, 10-12 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest). Day 2: Bench Press (4 sets, 8-12 reps, 2 min rest), Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest), Incline Bench Press (3 sets, 10-12 reps, 90 sec rest). Day 3: Deadlifts (4 sets, 6-10 reps, 2 min rest), Pull-ups (3 sets, 8-12 reps, 90 sec rest), Seated Rows (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest). Day 4: Overhead Press (4 sets, 8-12 reps, 2 min rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Barbell Curls (3 sets, 12-15 reps, 60 sec rest), Dumbbell Shoulder Press (3 sets, 10-12 reps, 90 sec rest). Day 5: Romanian Deadlifts (4 sets, 8-12 reps, 2 min rest), Leg Curls (3 sets, 12-15 reps, 90 sec rest), Plank (3 sets, 60 sec, 60 sec rest), Leg Extensions (3 sets, 12-15 reps, 90 sec rest). Day 6: Incline Bench Press (4 sets, 8-12 reps, 2 min rest), Cable Crossovers (3 sets, 12-15 reps, 90 sec rest), Overhead Tricep Extensions (3 sets, 12-15 reps, 60 sec rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest).",Split sessions into 45 min lifting + 15 min mobility. Consume 1.8-2.2g protein per kg body weight. Use a lifting belt for heavy compounds. Include 5 min warm-up sets.,Male,Young Adult
Build Muscle,6,"Day 1: Squats (3 sets, 10-12 reps, 90 sec rest), Leg Press (3 sets, 10-12 reps, 90 sec rest), Calf Raises (3 sets, 12-15 reps, 60 sec rest). Day 2: Bench Press (3 sets, 10-12 reps, 90 sec rest), Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest). Day 3: Deadlifts (3 sets, 8-10 reps, 90 sec rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Seated Rows (3 sets, 10-12 reps, 90 sec rest). Day 4: Overhead Press (3 sets, 10-12 reps, 90 sec rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Hammer Curls (3 sets, 12-15 reps, 60 sec rest). Day 5: Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest), Leg Curls (3 sets, 12-15 reps, 90 sec rest), Plank (3 sets, 45 sec, 60 sec rest). Day 6: Incline Bench Press (3 sets, 10-12 reps, 90 sec rest), Cable Crossovers (3 sets, 12-15 reps, 90 sec rest), Overhead Tricep Extensions (3 sets, 12-15 reps, 60 sec rest).",Focus on recovery with 7-8 hours of sleep. Consume 1.6-2.0g protein per kg body weight. Include 5 min core work post-workout.,Male,Adult
